Name,nyears,Spat_targ,EffYears,EffLower,EffUpper,Esd,qinc,qcv,L5,LFS,Vmaxlen,isRel,LR5,LFR,Rmaxlen,DR,SelYears,AbsSelYears,L5Lower,L5Upper,LFSLower,LFSUpper,VmaxLower,VmaxUpper,CurrentYr,MPA,Hermaphroditism
BlackSeaBass,,,,,,,,,,,,,,,,,,,,,,,,,,,protogynous
BluelineTilefish,,,,,,,,,,,,,,,,,,,,,,,,,,,gonochoristic
Cobia,,,,,,,,,,,,,,,,,,,,,,,,,,,gonochoristic
Gag,,,,,,,,,,,,,,,,,,,,,,,,,,,protogynous
GoldenTilefish,,,,,,,,,,,,,,,,,,,,,,,,,,,gonochoristic
GrayTriggerfish,,,,,,,,,,,,,,,,,,,,,,,,,,,gonochoristic
GreaterAmberjack,,,,,,,,,,,,,,,,,,,,,,,,,,,gonochoristic
MenhadenAtl,,,,,,,,,,,,,,,,,,,,,,,,,,,gonochoristic
RedGrouper,,,,,,,,,,,,,,,,,,,,,,,,,,,protogynous
RedPorgy,,,,,,,,,,,,,,,,,,,,,,,,,,,protogynous
RedSnapper,,,,,,,,,,,,,,,,,,,,,,,,,,,gonochoristic
SnowyGrouper,,,,,,,,,,,,,,,,,,,,,,,,,,,protogynous
SpanishMackerel,,,,,,,,,,,,,,,,,,,,,,,,,,,gonochoristic
VermilionSnapper,,,,,,,,,,,,,,,,,,,,,,,,,,,gonochoristic
